Country;Happiness Rank;Happiness Score;Economy (GDP per Capita);Family;Health (Life Expectancy);Freedom;Trust (Government Corruption)
Finland;1;7.632;1.305;1.592;874;681;393
Norway;2;7.594;1.456;1.582;861;686;340
Denmark;3;7.555;1.351;1.590;868;683;408
Iceland;4;7.495;1.343;1.644;914;677;138
Switzerland;5;7.487;1.420;1.549;927;660;357
Netherlands;6;7.441;1.361;1.488;878;638;295
Canada;7;7.328;1.330;1.532;896;653;291
New Zealand;8;7.324;1.268;1.601;876;669;389
Sweden;9;7.314;1.355;1.501;913;659;383
Australia;10;7.272;1.340;1.573;910;647;302
United Kingdom;11;7.190;1.244;1.433;888;464;82
Austria;12;7.139;1.341;1.504;891;617;224
Costa Rica;13;7.072;1.010;1.459;817;632;101
Ireland;14;6.977;1.448;1.583;876;614;306
Germany;15;6.965;1.340;1.474;861;586;280
Belgium;16;6.927;1.324;1.483;894;583;240
Luxembourg;17;6.910;1.576;1.520;896;632;321
United States;18;6.886;1.398;1.471;819;547;133
Israel;19;6.814;1.301;1.559;883;533;272
United Arab Emirates;20;6.774;2.096;776;670;284;N/A
Czech Republic;21;6.711;1.233;1.489;854;543;34
Malta;22;6.627;1.270;1.525;884;645;142
France;23;6.489;1.293;1.466;908;520;176
Mexico;24;6.488;1.038;1.252;761;479;95
Chile;25;6.476;1.131;1.331;808;431;61
Taiwan;26;6.441;1.365;1.436;857;418;78
Panama;27;6.430;1.112;1.438;759;597;63
Brazil;28;6.419;986;1.474;675;493;88
Argentina;29;6.388;1.073;1.468;744;570;54
Guatemala;30;6.382;781;1.268;608;604;71
Uruguay;31;6.379;1.093;1.459;771;625;155
Qatar;32;6.374;1.649;1.303;748;654;171
Saudi Arabia;33;6.371;1.379;1.331;633;509;127
Singapore;34;6.343;1.529;1.451;1.008;631;457
Malaysia;35;6.322;1.161;1.258;669;356;59
Spain;36;6.310;1.251;1.538;965;449;74
Colombia;37;6.260;960;1.439;635;531;39
Trinidad & Tobago;38;6.192;1.223;1.492;564;575;19
Slovakia;39;6.173;1.210;1.537;776;354;14
El Salvador;40;6.167;806;1.231;639;461;82
Nicaragua;41;6.141;668;1.319;700;527;128
Poland;42;6.123;1.176;1.448;781;546;64
Bahrain;43;6.105;1.338;1.366;698;594;123
Uzbekistan;44;6.096;719;1.584;605;724;259
Kuwait;45;6.083;1.474;1.301;675;554;106
Thailand;46;6.072;1.016;1.417;707;637;29
Italy;47;6.000;1.264;1.501;946;281;28
Ecuador;48;5.973;889;1.330;736;556;120
Belize;49;5.956;807;1.101;474;593;89
Lithuania;50;5.952;1.197;1.527;716;350;6
